generated_on,display_name,disch_port,route,sparta_route_code,vessel_type,load_month,load_window,load_date,sailing_speed,sailing_distance,load_days,canal,canal_days,voyage_days,arrival_date,blend_cost_month,blend_seasonality,ebob_structure,blend_cost_diff,blend_cost_diff_color,blend_cost_close,gas_nap,gas_nap_color,gas_nap_close,qty_restr_disch,qty_restr_disch_units,density,qty_restr,qty_restr_units,c_p,loaded_qty,loaded_qty_units,ta_arb_month,ta_arb,ta_arb_color,ta_arb_close,ta_arb_units,e_w_arb_month,e_w,e_w_color,e_w_close,e_w_units,freight,freight_units,incoterms,flat_rate,overage,lumpsum,rate,corr_inhibitor_chk,corr_inhibitor,antioxident_chk,antioxident,load_port_dem_chk,load_port_dem,load_vessel_insp_chk,load_vessel_insp,load_losses_chk,load_losses,working_capital_costs_chk,working_capital_costs,disch_vessel_insp_chk,disch_vessel_insp,vessel_losses_chk,vessel_losses,disch_losses_chk,disch_losses,blend_cost_month_date,arrival_month,ebob_spread,ebob_spread_value,price_vs_ebob,rbob_spread,rbob_spread_value,price_vs_rbob,sing92_spread,sing92_spread_value,price_vs_sing92,rbob,dlvd_price,dlvd_price_color,dlvd_price_close,dlvd_price_units,dlvd_price_decimals,pricing_month,quote_destination,sales_price_month,sale_price,gen_blender_margin,pseudo_fob_refinery,pseudo_cif_refinery,margin_units,cotd_gen_blender_margin,cotd_gen_blender_margin_color,cotd_gen_blender_margin_close,load_region
2021-09-20 00:11:20.045,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-21.34077203,RED,0,10.41,GREEN,0,36000,mt,0.6964893,36000,mt,37000,36000,mt,Feb.22,18.34,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,139.0739236,WS,DES,13.31,0.5,684897.3517,19.02492644,TRUE,0.220660718,FALSE,NULL,TRUE,0.586811121,TRUE,0.277777778,TRUE,0.327065,TRUE,0.448034247,TRUE,0.277777778,TRUE,0.1635325,TRUE,0.327065,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.29,-29.54060613,NULL,NULL,NULL,NULL,-29.55,GREY,-29.59554951,cpg,-29.54060613,Apr,Apr RBOB Future,Mar,-27.75,1.790606128,4.790606128,6.790606128,cpg,-0.054943386,RED,1.845549514,ARA
2021-09-20 00:26:20.045,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-21.41847301,RED,0,10.54,GREEN,0,36000,mt,0.6964893,36000,mt,37000,36000,mt,Feb.22,18.33,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,139.0739236,WS,DES,13.31,0.5,684897.3517,19.02492644,TRUE,0.220660718,FALSE,NULL,TRUE,0.586811121,TRUE,0.277777778,TRUE,0.32732,TRUE,0.448383562,TRUE,0.277777778,TRUE,0.16366,TRUE,0.32732,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.26,-29.52252446,NULL,NULL,NULL,NULL,-29.5,GREY,-29.59554951,cpg,-29.52252446,Apr,Apr RBOB Future,Mar,-27.75,1.772524463,4.772524463,6.772524463,cpg,-0.073025051,RED,1.845549514,ARA
2021-09-20 00:41:20.045,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-21.38917004,RED,0,10.53,GREEN,0,36000,mt,0.6964893,36000,mt,37000,36000,mt,Feb.22,18.35,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,139.0739236,WS,DES,13.31,0.5,684897.3517,19.02492644,TRUE,0.220660718,FALSE,NULL,TRUE,0.586811121,TRUE,0.277777778,TRUE,0.327135,TRUE,0.448130137,TRUE,0.277777778,TRUE,0.1635675,TRUE,0.327135,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.26,-29.53813525,NULL,NULL,NULL,NULL,-29.55,GREY,-29.59554951,cpg,-29.53813525,Apr,Apr RBOB Future,Mar,-27.75,1.788135253,4.788135253,6.788135253,cpg,-0.057414261,RED,1.845549514,ARA
2021-09-20 00:56:20.045,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-21.41847302,RED,0,10.54,GREEN,0,36000,mt,0.6964893,36000,mt,37000,36000,mt,Feb.22,18.36,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,139.0739236,WS,DES,13.31,0.5,684897.3517,19.02492644,TRUE,0.220660718,FALSE,NULL,TRUE,0.586811121,TRUE,0.277777778,TRUE,0.32732,TRUE,0.448383562,TRUE,0.277777778,TRUE,0.16366,TRUE,0.32732,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.26,-29.55252447,NULL,NULL,NULL,NULL,-29.55,GREY,-29.59554951,cpg,-29.55252447,Apr,Apr RBOB Future,Mar,-27.75,1.802524466,4.802524466,6.802524466,cpg,-0.043025048,RED,1.845549514,ARA
2021-09-20 01:11:20.045,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-21.41131958,RED,0,10.63,GREEN,0,36000,mt,0.6964893,36000,mt,37000,36000,mt,Feb.22,18.35,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,139.0739236,WS,DES,13.31,0.5,684897.3517,19.02492644,TRUE,0.220660718,FALSE,NULL,TRUE,0.586811121,TRUE,0.277777778,TRUE,0.32723,TRUE,0.448260274,TRUE,0.277777778,TRUE,0.163615,TRUE,0.32723,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.26,-29.55148202,NULL,NULL,NULL,NULL,-29.55,GREY,-29.59554951,cpg,-29.55148202,Apr,Apr RBOB Future,Mar,-27.75,1.801482021,4.801482021,6.801482021,cpg,-0.044067493,RED,1.845549514,ARA
2021-09-20 01:26:20.045,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-21.48094578,RED,0,10.65,GREEN,0,36000,mt,0.6964893,36000,mt,37000,36000,mt,Feb.22,18.34,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,139.0739236,WS,DES,13.31,0.5,684897.3517,19.02492644,TRUE,0.220660718,FALSE,NULL,TRUE,0.586811121,TRUE,0.277777778,TRUE,0.32702,TRUE,0.447972603,TRUE,0.277777778,TRUE,0.16351,TRUE,0.32702,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.26,-29.54019581,NULL,NULL,NULL,NULL,-29.55,GREY,-29.59554951,cpg,-29.54019581,Apr,Apr RBOB Future,Mar,-27.75,1.79019581,4.79019581,6.79019581,cpg,-0.055353704,RED,1.845549514,ARA
2021-09-20 01:41:20.045,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-21.40661685,RED,0,10.63,GREEN,0,36000,mt,0.6964893,36000,mt,37000,36000,mt,Feb.22,18.33,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,139.0739236,WS,DES,13.31,0.5,684897.3517,19.02492644,TRUE,0.220660718,FALSE,NULL,TRUE,0.586811121,TRUE,0.277777778,TRUE,0.32674,TRUE,0.447589041,TRUE,0.277777778,TRUE,0.16337,TRUE,0.32674,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.26,-29.52303137,NULL,NULL,NULL,NULL,-29.5,GREY,-29.59554951,cpg,-29.52303137,Apr,Apr RBOB Future,Mar,-27.75,1.773031367,4.773031367,6.773031367,cpg,-0.072518148,RED,1.845549514,ARA
2021-09-20 01:56:20.045,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-21.26476167,RED,0,10.42,GREEN,0,36000,mt,0.6964893,36000,mt,37000,36000,mt,Feb.22,18.36,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,139.0739236,WS,DES,13.31,0.5,684897.3517,19.02492644,TRUE,0.220660718,FALSE,NULL,TRUE,0.586811121,TRUE,0.277777778,TRUE,0.326075,TRUE,0.446678082,TRUE,0.277777778,TRUE,0.1630375,TRUE,0.326075,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.26,-29.5099835,NULL,NULL,NULL,NULL,-29.5,GREY,-29.59554951,cpg,-29.5099835,Apr,Apr RBOB Future,Mar,-27.75,1.759983502,4.759983502,6.759983502,cpg,-0.085566012,RED,1.845549514,ARA
2021-09-20 02:26:20.052,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-20.91476475,RED,0,9.63,GREEN,0,36000,mt,0.6967285,36000,mt,37000,36000,mt,Feb.22,18.37,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,139.0739236,WS,DES,13.31,0.5,684897.3517,19.02492644,TRUE,0.220624793,FALSE,NULL,TRUE,0.586601175,TRUE,0.277777778,TRUE,0.325745,TRUE,0.446226027,TRUE,0.277777778,TRUE,0.1628725,TRUE,0.325745,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.26,-29.42990332,NULL,NULL,NULL,NULL,-29.45,GREEN,-29.59554951,cpg,-29.42990332,Apr,Apr RBOB Future,Mar,-27.75,1.679903317,4.679903317,6.679903317,cpg,-0.165646198,RED,1.845549514,ARA
2021-09-20 02:41:20.045,RBOB,NEW YORK,NULL,AMSNEWMR,MR,Feb.22,NULL,15.02.22,12.5,3378,3,NULL,0,15,02.03.22,Feb.22,F4,0,-21.11823317,RED,0,9.92,GREEN,0,36000,mt,0.6964893,36000,mt,37000,36000,mt,Feb.22,18.38,RED,18.6,cpg,Feb.22,NULL,NULL,NULL,NULL,139.0739236,WS,DES,13.31,0.5,684897.3517,19.02492644,TRUE,0.220660718,FALSE,NULL,TRUE,0.586811121,TRUE,0.277777778,TRUE,0.3257,TRUE,0.446164384,TRUE,0.277777778,TRUE,0.16285,TRUE,0.3257,Feb.22,02.03.22,NULL,NULL,NULL,M06,-11.26,-29.48853284,NULL,NULL,NULL,NULL,-29.5,GREY,-29.59554951,cpg,-29.48853284,Apr,Apr RBOB Future,Mar,-27.75,1.738532843,4.738532843,6.738532843,cpg,-0.107016671,RED,1.845549514,ARA
